	annot	category	color	lenOG	phrog
0	2-aminooxy adenylosuccinate synthetase	DNA, RNA and nucleotide metabolism	#ffdf59	125	1
1	2OG-Fe(II) oxygenase	moron, auxiliary metabolic gene and host takeover	#ff59f5	2207	2
2	3'-5' exonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	5	2
3	3'-phosphatase, 5'-polynucleotide kinase	other	#838383	17	1
4	5'-3' deoxyribonucleotidase	moron, auxiliary metabolic gene and host takeover	#ff59f5	54	1
5	5-phosphoribosylformylglycinamide amidotransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	116	1
6	6-phosphofructokinase	other	#838383	85	1
7	6-phosphogluconate dehydrogenase	other	#838383	39	1
8	ABC transporter	moron, auxiliary metabolic gene and host takeover	#ff59f5	510	7
9	ABC transporter ATP-binding subunit	moron, auxiliary metabolic gene and host takeover	#ff59f5	163	1
10	ADP-ribosylglycohydrolase	other	#838383	18	1
11	ADP-ribosyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	7	2
12	ADP-ribosyltransferase exoenzyme toxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	36	1
13	ATP-dependent DNA ligase	DNA, RNA and nucleotide metabolism	#ffdf59	796	2
14	ATP-dependent protease	other	#838383	156	9
15	ATPase	other	#838383	390	25
16	Abi alpha-like abortive infection mechanism	moron, auxiliary metabolic gene and host takeover	#ff59f5	82	1
17	Alt-like RNA polymerase ADP-ribosyltransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	196	4
18	Alt-like transcription activator	transcription regulation	#a861e3	68	1
19	Arc-like DNA binding domain	transcription regulation	#a861e3	45	1
20	Arc-like repressor	transcription regulation	#a861e3	1398	13
21	Arc-like transcriptional regulator	transcription regulation	#a861e3	17	2
22	Avd protein of DGR	DNA, RNA and nucleotide metabolism	#ffdf59	45	1
23	Bet-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	#ffdf59	475	1
24	Bor-like outer membrane protein	other	#838383	463	1
25	BstA abortive infection system, replication inhibitor	moron, auxiliary metabolic gene and host takeover	#ff59f5	19	1
26	Bxa ADP-ribosyl transferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	5	1
27	CI-like repressor	transcription regulation	#a861e3	31	3
28	CII-like regulator	transcription regulation	#a861e3	226	3
29	CII-like transcriptional activator	transcription regulation	#a861e3	2125	5
30	CIII anti-termination	transcription regulation	#a861e3	253	3
31	COOH.NH2 ligase	other	#838383	37	1
32	CRISPR/Cas system associated	DNA, RNA and nucleotide metabolism	#ffdf59	89	2
33	CTXphi Zot-like toxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	143	1
34	Cas4-domain exonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	76	1
35	CopG-like transcriptional repressor	transcription regulation	#a861e3	16	1
36	Cor superinfection exclusion protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	134	1
37	Cox-like excisionase and repressor	integration and excision	#fea328	686	2
38	CpeT-like antenna protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	277	1
39	CsrA-like regulator	transcription regulation	#a861e3	24	2
40	DHH phosphoesterase	other	#838383	31	2
41	DNA binding domain	DNA, RNA and nucleotide metabolism	#ffdf59	165	1
42	DNA binding protein	DNA, RNA and nucleotide metabolism	#ffdf59	2880	82
43	DNA circularization	DNA, RNA and nucleotide metabolism	#ffdf59	5	1
44	DNA condensation	DNA, RNA and nucleotide metabolism	#ffdf59	102	2
45	DNA ejection	DNA, RNA and nucleotide metabolism	#ffdf59	235	2
46	DNA ejection protein	DNA, RNA and nucleotide metabolism	#ffdf59	35	2
47	DNA end protector	DNA, RNA and nucleotide metabolism	#ffdf59	300	1
48	DNA endonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	65	1
49	DNA endonuclease V	DNA, RNA and nucleotide metabolism	#ffdf59	448	2
50	DNA helicase	DNA, RNA and nucleotide metabolism	#ffdf59	4435	26
51	DNA helicase loader	DNA, RNA and nucleotide metabolism	#ffdf59	448	1
52	DNA invertase	DNA, RNA and nucleotide metabolism	#ffdf59	773	3
53	DNA ligase	DNA, RNA and nucleotide metabolism	#ffdf59	139	12
54	DNA methylase	DNA, RNA and nucleotide metabolism	#ffdf59	20	1
55	DNA methyltransferase	other	#838383	6996	67
56	DNA packaging chaperone FI	head and packaging	#3e83f6	959	1
57	DNA polymerase	DNA, RNA and nucleotide metabolism	#ffdf59	3820	56
58	DNA polymerase I	DNA, RNA and nucleotide metabolism	#ffdf59	11	2
59	DNA polymerase III theta subunit	DNA, RNA and nucleotide metabolism	#ffdf59	144	4
60	DNA polymerase exonuclease subunit	DNA, RNA and nucleotide metabolism	#ffdf59	876	3
61	DNA polymerase processivity factor	DNA, RNA and nucleotide metabolism	#ffdf59	661	3
62	DNA polymerase/primase	DNA, RNA and nucleotide metabolism	#ffdf59	514	12
63	DNA primase	DNA, RNA and nucleotide metabolism	#ffdf59	3335	44
64	DNA primase/helicase	DNA, RNA and nucleotide metabolism	#ffdf59	512	5
65	DNA repair exonuclease	DNA, RNA and nucleotide metabolism	#ffdf59	219	3
66	DNA repair photolyase	DNA, RNA and nucleotide metabolism	#ffdf59	12	1
67	DNA repair protein	DNA, RNA and nucleotide metabolism	#ffdf59	62	6
68	DNA replication initiation	DNA, RNA and nucleotide metabolism	#ffdf59	202	2
69	DNA sliding clamp inhibitor; arrest of S.aureus DNA synthesis	DNA, RNA and nucleotide metabolism	#ffdf59	39	1
70	DNA terminal protein	DNA, RNA and nucleotide metabolism	#ffdf59	19	1
71	DNA topoisomerase	DNA, RNA and nucleotide metabolism	#ffdf59	35	4
72	DNA topoisomerase II	DNA, RNA and nucleotide metabolism	#ffdf59	277	5
73	DNA topoisomerase II large subunit	DNA, RNA and nucleotide metabolism	#ffdf59	253	1
74	DNA transfer protein	other	#838383	272	2
75	DNA transposition protein	integration and excision	#fea328	415	1
76	DarB-like antirestriction	moron, auxiliary metabolic gene and host takeover	#ff59f5	10	1
77	Dda-like helicase	DNA, RNA and nucleotide metabolism	#ffdf59	379	1
78	DdrA-like anti-restriction protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	82	1
79	DenB-like DNA endonuclease IV	DNA, RNA and nucleotide metabolism	#ffdf59	109	1
80	DksA-like zinc-finger protein	other	#838383	1285	1
81	Dmd discriminator of mRNA degradation	DNA, RNA and nucleotide metabolism	#ffdf59	72	1
82	DnaA-like replication initiation protein	DNA, RNA and nucleotide metabolism	#ffdf59	36	3
83	DnaB-like replicative helicase	DNA, RNA and nucleotide metabolism	#ffdf59	2574	4
84	DnaC-like helicase loader	DNA, RNA and nucleotide metabolism	#ffdf59	1350	3
85	DnaD-like helicase loader	DNA, RNA and nucleotide metabolism	#ffdf59	815	11
86	Doc-like toxin	moron, auxiliary metabolic gene and host takeover	#ff59f5	239	1
87	DprA-like DNA recombination-mediator protein	DNA, RNA and nucleotide metabolism	#ffdf59	189	2
88	EPS depolymerase	tail	#07e9a2	32	1
89	ERCC4-type nuclease	DNA, RNA and nucleotide metabolism	#ffdf59	41	1
90	Erf recombination cofactor Arf	DNA, RNA and nucleotide metabolism	#ffdf59	60	1
91	Erf-like ssDNA annealing protein	DNA, RNA and nucleotide metabolism	#ffdf59	854	6
92	FabG-like 3-oxoacyl-(acyl-carrier-protein) reductase	moron, auxiliary metabolic gene and host takeover	#ff59f5	46	1
93	Fe-S oxidoreductase	other	#838383	5	1
94	Fe-S-cluster redox domain-containing	other	#838383	3	1
95	FmdB-like transcriptional regulator	transcription regulation	#a861e3	139	1
96	FtsK/SpoIIIE-like protein	moron, auxiliary metabolic gene and host takeover	#ff59f5	171	6
97	GP16.7-like replication protein	DNA, RNA and nucleotide metabolism	#ffdf59	18	1
98	GTP cyclohydrolase	other	#838383	90	2
99	GTP-binding domain	other	#838383	425	1
100	Galactose-3-O-sulfotransferase	moron, auxiliary metabolic gene and host takeover	#ff59f5	43	1
101	Gp2.5-like ssDNA binding protein and ssDNA annealing protein	DNA, RNA and nucleotide metabolism	#ffdf59	808	2
102	Gp5.5-like host HNS inhibition	moron, auxiliary metabolic gene and host takeover	#ff59f5	103	1
103	Gp5.9-like inihibitor of recBCD nuclease	moron, auxiliary metabolic gene and host takeover	#ff59f5	12	1
